permno,date,ticker,comnam,prc,vol,ret,bid,ask,shrout,openprc,askhi,bidlo,year,month,day_of_week,market_cap_millions,bid_ask_spread,bid_ask_spread_pct
13001,2011-09-19,WEAT,TEUCRIUM COMMODITY TRUST,24.57,100.0,,24.37,24.73,100.0,24.57,24.57,24.57,2011,9,Monday,2457.0,0.35999999999999943,1.4652014652014629
13001,2011-09-20,WEAT,TEUCRIUM COMMODITY TRUST,24.87,1000.0,0.01221,24.43,24.87,100.0,24.68,24.87,24.57,2011,9,Tuesday,2487.0,0.4400000000000013,1.769199839163656
13001,2011-09-21,WEAT,TEUCRIUM COMMODITY TRUST,24.23,300.0,-0.025734,23.87,24.38,100.0,24.41,24.68,24.23,2011,9,Wednesday,2423.0,0.509999999999998,2.1048287247214117
13001,2011-09-22,WEAT,TEUCRIUM COMMODITY TRUST,23.0,1000.0,-0.050764,22.72,23.16,100.0,23.71,23.71,23.0,2011,9,Thursday,2300.0,0.4400000000000013,1.913043478260875
13001,2011-09-23,WEAT,TEUCRIUM COMMODITY TRUST,23.56,300.0,0.024348,23.08,23.56,100.0,23.32,23.56,23.28,2011,9,Friday,2356.0,0.4800000000000004,2.037351443123941
13001,2011-09-26,WEAT,TEUCRIUM COMMODITY TRUST,23.59,2400.0,0.001273,23.31,23.78,100.0,23.14,23.59,23.1,2011,9,Monday,2359.0,0.4700000000000024,1.9923696481560085
13001,2011-09-27,WEAT,TEUCRIUM COMMODITY TRUST,23.8,2900.0,0.008902,23.5,24.0,100.0,23.92,23.95,23.6,2011,9,Tuesday,2380.0,0.5,2.1008403361344534
13001,2011-09-28,WEAT,TEUCRIUM COMMODITY TRUST,23.228,3600.0,-0.024034,22.82,23.33,100.0,23.6,23.6,23.02,2011,9,Wednesday,2322.8,0.509999999999998,2.195625968658507
13001,2011-09-29,WEAT,TEUCRIUM COMMODITY TRUST,23.36,2400.0,0.005683,23.25,23.71,100.0,23.46,23.49,23.36,2011,9,Thursday,2336.0,0.46000000000000085,1.9691780821917846
13001,2011-09-30,WEAT,TEUCRIUM COMMODITY TRUST,22.7,1000.0,-0.028253,22.59,22.81,100.0,23.82,24.08,22.7,2011,9,Friday,2270.0,0.21999999999999886,0.9691629955947088
13001,2011-10-03,WEAT,TEUCRIUM COMMODITY TRUST,22.8,1100.0,0.004405,22.58,23.19,100.0,22.59,22.99,22.4,2011,10,Monday,2280.0,0.610000000000003,2.675438596491241
13001,2011-10-04,WEAT,TEUCRIUM COMMODITY TRUST,22.85,600.0,0.002193,22.35,22.69,100.0,22.85,22.85,22.85,2011,10,Tuesday,2285.0,0.33999999999999986,1.4879649890590803
13001,2011-10-05,WEAT,TEUCRIUM COMMODITY TRUST,23.09,1400.0,0.010503,22.95,23.17,100.0,22.81,23.09,22.81,2011,10,Wednesday,2309.0,0.22000000000000242,0.9527934170636745
