year,net_ret,gross_ret,bh_ret,avg_pos,active_months,tc_drag
2012,0.0,0.0,-0.04991314690172122,0.0,0.0,0.0
2013,0.0,0.0,-0.30815474190202585,0.0,0.0,0.0
2014,0.0,0.0,-0.13654385931423907,0.0,0.0,0.0
2015,0.0,0.0,-0.2823453366425984,0.0,0.0,0.0
2016,0.1526094616183904,0.15490528392542635,-0.2472615692907708,-0.5036473307628694,11.0,0.002295822307035955
2017,0.009746298704367273,0.010760137592339625,-0.12791232645921746,0.181771332476512,6.0,0.0010138388879723514
2018,0.03532073134621849,0.036350136276406264,-0.011666465900519785,0.181771332476512,6.0,0.0010294049301877717
2019,0.0,0.0,-0.013488264608248257,0.0,0.0,0.0
2020,-0.014489115446568501,-0.01394302540355441,0.05811300553570864,0.02291666666666667,1.0,0.0005460900430140914
2021,0.0548017626093551,0.056264164555404506,0.19386064621793286,0.2993867652901744,8.0,0.0014624019460494075
2022,0.17361756201806555,0.17460931681400815,0.0798310743763817,0.11727780660244713,4.0,0.000991754795942601
2023,0.07546209127122627,0.07650835426741076,-0.2518808777858489,-0.15643173516716966,5.0,0.0010462629961844883
2024,0.05063387724014401,0.05255980142926364,-0.19263159446422018,-0.4437060636377435,10.0,0.0019259241891196321
