watershed_code,state_fips_code,domain_desc,CV (%),end_code,state_name,country_name,class_desc,agg_level_desc,Value,freq_desc,begin_code,short_desc,zip_5,prodn_practice_desc,state_alpha,country_code,year,asd_desc,source_desc,county_code,region_desc,asd_code,county_ansi,group_desc,county_name,domaincat_desc,load_time,sector_desc,unit_desc,week_ending,reference_period_desc,location_desc,util_practice_desc,statisticcat_desc,commodity_desc,state_ansi,watershed_desc,congr_district_code,value
00000000,04,"IRRIGATION METHOD, PRIMARY",(D),00,ARIZONA,UNITED STATES,ALL CLASSES,STATE,                 (D),ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,AZ,9000,2018,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2018-02-01 00:00:00.000,CROPS,BU / ACRE,,YEAR,ARIZONA,ALL UTILIZATION PRACTICES,YIELD,WHEAT,04,,,
00000000,04,"IRRIGATION METHOD, PRIMARY",,00,ARIZONA,UNITED STATES,ALL CLASSES,STATE,107,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,AZ,9000,2013,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2012-12-31 00:00:00.000,CROPS,BU / ACRE,,YEAR,ARIZONA,ALL UTILIZATION PRACTICES,YIELD,WHEAT,04,,,107.0
00000000,05,"IRRIGATION METHOD, PRIMARY",(L),00,ARKANSAS,UNITED STATES,ALL CLASSES,STATE,55,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,AR,9000,2018,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2018-02-01 00:00:00.000,CROPS,BU / ACRE,,YEAR,ARKANSAS,ALL UTILIZATION PRACTICES,YIELD,WHEAT,05,,,55.0
00000000,05,"IRRIGATION METHOD, PRIMARY",,00,ARKANSAS,UNITED STATES,ALL CLASSES,STATE,68,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,AR,9000,2013,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2012-12-31 00:00:00.000,CROPS,BU / ACRE,,YEAR,ARKANSAS,ALL UTILIZATION PRACTICES,YIELD,WHEAT,05,,,68.0
00000000,06,"IRRIGATION METHOD, PRIMARY",2.8,00,CALIFORNIA,UNITED STATES,ALL CLASSES,STATE,96,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,CA,9000,2018,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2018-02-01 00:00:00.000,CROPS,BU / ACRE,,YEAR,CALIFORNIA,ALL UTILIZATION PRACTICES,YIELD,WHEAT,06,,,96.0
00000000,06,"IRRIGATION METHOD, PRIMARY",,00,CALIFORNIA,UNITED STATES,ALL CLASSES,STATE,105,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,CA,9000,2013,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2012-12-31 00:00:00.000,CROPS,BU / ACRE,,YEAR,CALIFORNIA,ALL UTILIZATION PRACTICES,YIELD,WHEAT,06,,,105.0
00000000,08,"IRRIGATION METHOD, PRIMARY",17.7,00,COLORADO,UNITED STATES,ALL CLASSES,STATE,79,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,CO,9000,2018,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2018-02-01 00:00:00.000,CROPS,BU / ACRE,,YEAR,COLORADO,ALL UTILIZATION PRACTICES,YIELD,WHEAT,08,,,79.0
00000000,08,"IRRIGATION METHOD, PRIMARY",,00,COLORADO,UNITED STATES,ALL CLASSES,STATE,54,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,CO,9000,2013,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2012-12-31 00:00:00.000,CROPS,BU / ACRE,,YEAR,COLORADO,ALL UTILIZATION PRACTICES,YIELD,WHEAT,08,,,54.0
00000000,16,"IRRIGATION METHOD, PRIMARY",3.9,00,IDAHO,UNITED STATES,ALL CLASSES,STATE,123,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,ID,9000,2018,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2018-02-01 00:00:00.000,CROPS,BU / ACRE,,YEAR,IDAHO,ALL UTILIZATION PRACTICES,YIELD,WHEAT,16,,,123.0
00000000,16,"IRRIGATION METHOD, PRIMARY",,00,IDAHO,UNITED STATES,ALL CLASSES,STATE,117,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,ID,9000,2013,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2012-12-31 00:00:00.000,CROPS,BU / ACRE,,YEAR,IDAHO,ALL UTILIZATION PRACTICES,YIELD,WHEAT,16,,,117.0
00000000,20,"IRRIGATION METHOD, PRIMARY",35.1,00,KANSAS,UNITED STATES,ALL CLASSES,STATE,45,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,KS,9000,2018,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2018-02-01 00:00:00.000,CROPS,BU / ACRE,,YEAR,KANSAS,ALL UTILIZATION PRACTICES,YIELD,WHEAT,20,,,45.0
00000000,20,"IRRIGATION METHOD, PRIMARY",,00,KANSAS,UNITED STATES,ALL CLASSES,STATE,45,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,KS,9000,2013,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2012-12-31 00:00:00.000,CROPS,BU / ACRE,,YEAR,KANSAS,ALL UTILIZATION PRACTICES,YIELD,WHEAT,20,,,45.0
00000000,22,"IRRIGATION METHOD, PRIMARY",,00,LOUISIANA,UNITED STATES,ALL CLASSES,STATE,74,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,LA,9000,2013,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2012-12-31 00:00:00.000,CROPS,BU / ACRE,,YEAR,LOUISIANA,ALL UTILIZATION PRACTICES,YIELD,WHEAT,22,,,74.0
00000000,28,"IRRIGATION METHOD, PRIMARY",,00,MISSISSIPPI,UNITED STATES,ALL CLASSES,STATE,                 (D),ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,MS,9000,2013,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2012-12-31 00:00:00.000,CROPS,BU / ACRE,,YEAR,MISSISSIPPI,ALL UTILIZATION PRACTICES,YIELD,WHEAT,28,,,
00000000,29,"IRRIGATION METHOD, PRIMARY",12.2,00,MISSOURI,UNITED STATES,ALL CLASSES,STATE,64,ANNUAL,00,"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,IRRIGATED,MO,9000,2018,,CENSUS,,,,,FIELD CROPS,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",2018-02-01 00:00:00.000,CROPS,BU / ACRE,,YEAR,MISSOURI,ALL UTILIZATION PRACTICES,YIELD,WHEAT,29,,,64.0
