metric,window,pearson_r,pearson_p,spearman_rho,spearman_p,n,significant
soil_moisture,month_09,0.3265,0.0003,0.3248,0.0003,120,True
ndwi,month_04,-0.2691,0.0001,-0.3482,0.0,218,True
ndvi,month_04,0.26,0.0001,0.3636,0.0,218,True
lst_c,month_09,-0.2444,0.0036,-0.2616,0.0018,140,True
ndwi,month_09,-0.2001,0.0284,-0.1319,0.1509,120,True
lst_c,month_03,0.1716,0.0114,0.0976,0.152,217,True
ndvi,month_09,0.155,0.091,0.0367,0.6909,120,False
ndvi,month_05,0.146,0.0215,0.1468,0.0207,248,True
ndwi,month_05,-0.1444,0.0229,-0.1232,0.0526,248,True
ndwi,month_03,-0.1312,0.0689,-0.291,0.0,193,False
lst_c,month_04,0.1269,0.0416,0.1706,0.006,258,True
rainfall_mm,month_05,0.1259,0.0267,0.0987,0.0828,310,True
soil_moisture,month_03,-0.1169,0.1092,0.0215,0.7692,189,False
lst_c,month_05,-0.1169,0.0397,-0.1419,0.0124,310,True
ndwi,month_06,0.1159,0.0637,0.1033,0.0986,257,False
soil_moisture,month_05,0.1019,0.0789,0.0573,0.3243,298,False
lst_c,month_06,-0.0978,0.0907,-0.016,0.7826,300,False
soil_moisture,month_04,-0.0892,0.1702,-0.1043,0.1086,238,False
ndvi,month_06,-0.082,0.19,-0.0517,0.4089,257,False
soil_moisture,month_07,-0.0788,0.1855,-0.0351,0.5559,284,False
soil_moisture,month_06,0.0692,0.244,0.0842,0.1563,285,False
ndvi,month_03,0.062,0.3916,0.2833,0.0001,193,False
rainfall_mm,month_06,0.0601,0.2996,0.0549,0.343,300,False
ndwi,month_07,0.058,0.3454,0.0496,0.4197,267,False
lst_c,month_08,0.058,0.3089,0.0796,0.1623,310,False
ndwi,month_08,-0.0545,0.3818,-0.0671,0.2812,260,False
ndwi,ALL,-0.0487,0.0541,-0.0687,0.0066,1563,False
ndvi,month_07,-0.0446,0.468,-0.0506,0.4101,267,False
rainfall_mm,month_03,-0.0365,0.5926,-0.1278,0.0601,217,False
rainfall_mm,month_08,0.0359,0.5291,-0.0059,0.918,310,False
lst_c,month_07,-0.0329,0.5638,-0.0211,0.712,310,False
rainfall_mm,ALL,0.0271,0.2447,0.0187,0.4222,1845,False
lst_c,ALL,-0.0244,0.295,-0.0291,0.2113,1845,False
ndvi,ALL,0.0239,0.3448,0.0603,0.0172,1563,False
soil_moisture,month_08,-0.0234,0.7013,-0.0121,0.8431,270,False
ndvi,month_08,-0.0233,0.7082,0.0117,0.8512,260,False
rainfall_mm,month_09,-0.0224,0.7927,-0.0721,0.3971,140,False
rainfall_mm,month_07,0.0179,0.7542,0.0248,0.6642,310,False
rainfall_mm,month_04,-0.0082,0.8957,0.0484,0.4392,258,False
soil_moisture,ALL,0.0023,0.9233,0.0456,0.0614,1684,False
